
Tempo total de execução: 0.941915 segundo(s).

Origem: 0 	 Destino: 365 	 Distância: 0
Origem: 0 	 Destino: 366 	 Distância: 0
Origem: 0 	 Destino: 367 	 Distância: 0
Origem: 0 	 Destino: 368 	 Distância: 0
Origem: 0 	 Destino: 369 	 Distância: 0
Origem: 0 	 Destino: 370 	 Distância: 0
Origem: 0 	 Destino: 371 	 Distância: 0
Origem: 0 	 Destino: 372 	 Distância: 0
Origem: 0 	 Destino: 373 	 Distância: 0
Origem: 0 	 Destino: 374 	 Distância: 0
Origem: 0 	 Destino: 375 	 Distância: 0
Origem: 0 	 Destino: 376 	 Distância: 0
Origem: 0 	 Destino: 377 	 Distância: 0
Origem: 0 	 Destino: 378 	 Distância: 0
Origem: 0 	 Destino: 379 	 Distância: 0
Origem: 0 	 Destino: 380 	 Distância: 0
Origem: 0 	 Destino: 381 	 Distância: 0
Origem: 0 	 Destino: 382 	 Distância: 0
Origem: 0 	 Destino: 383 	 Distância: 0
Origem: 0 	 Destino: 384 	 Distância: 0
Origem: 0 	 Destino: 385 	 Distância: 0
Origem: 0 	 Destino: 386 	 Distância: 0
Origem: 0 	 Destino: 387 	 Distância: 0
Origem: 0 	 Destino: 388 	 Distância: 0
Origem: 0 	 Destino: 389 	 Distância: 0
Origem: 0 	 Destino: 390 	 Distância: 0
Origem: 0 	 Destino: 391 	 Distância: 0
Origem: 0 	 Destino: 392 	 Distância: 0
Origem: 0 	 Destino: 393 	 Distância: 0
Origem: 0 	 Destino: 394 	 Distância: 0
Origem: 0 	 Destino: 395 	 Distância: 0
Origem: 0 	 Destino: 396 	 Distância: 0
Origem: 0 	 Destino: 397 	 Distância: 0
Origem: 0 	 Destino: 398 	 Distância: 0
Origem: 0 	 Destino: 399 	 Distância: 0
Origem: 0 	 Destino: 400 	 Distância: 0
Origem: 0 	 Destino: 401 	 Distância: 0
Origem: 0 	 Destino: 402 	 Distância: 0
Origem: 0 	 Destino: 403 	 Distância: 0
Origem: 0 	 Destino: 404 	 Distância: 0
Origem: 0 	 Destino: 405 	 Distância: 0
Origem: 0 	 Destino: 406 	 Distância: 0
Origem: 0 	 Destino: 407 	 Distância: 0
Origem: 0 	 Destino: 408 	 Distância: 0
Origem: 0 	 Destino: 409 	 Distância: 0
Origem: 0 	 Destino: 410 	 Distância: 0
Origem: 0 	 Destino: 411 	 Distância: 0
Origem: 0 	 Destino: 412 	 Distância: 0
Origem: 0 	 Destino: 413 	 Distância: 0
Origem: 0 	 Destino: 414 	 Distância: 0
Origem: 0 	 Destino: 415 	 Distância: 0
Origem: 0 	 Destino: 416 	 Distância: 0
Origem: 0 	 Destino: 417 	 Distância: 0
Origem: 0 	 Destino: 418 	 Distância: 0
Origem: 0 	 Destino: 419 	 Distância: 0
Origem: 0 	 Destino: 420 	 Distância: 0
Origem: 0 	 Destino: 421 	 Distância: 0
Origem: 0 	 Destino: 422 	 Distância: 0
Origem: 0 	 Destino: 423 	 Distância: 0
Origem: 0 	 Destino: 424 	 Distância: 0
Origem: 0 	 Destino: 425 	 Distância: 0
Origem: 0 	 Destino: 426 	 Distância: 0
Origem: 0 	 Destino: 427 	 Distância: 0
Origem: 0 	 Destino: 428 	 Distância: 0
Origem: 0 	 Destino: 429 	 Distância: 0
Origem: 0 	 Destino: 430 	 Distância: 0
Origem: 0 	 Destino: 431 	 Distância: 0
Origem: 0 	 Destino: 432 	 Distância: 0
Origem: 0 	 Destino: 433 	 Distância: 0
Origem: 0 	 Destino: 434 	 Distância: 0
Origem: 0 	 Destino: 435 	 Distância: 0
Origem: 0 	 Destino: 436 	 Distância: 0
Origem: 0 	 Destino: 437 	 Distância: 0
Origem: 0 	 Destino: 438 	 Distância: 0
Origem: 0 	 Destino: 439 	 Distância: 0
Origem: 0 	 Destino: 440 	 Distância: 0
Origem: 0 	 Destino: 441 	 Distância: 0
Origem: 0 	 Destino: 442 	 Distância: 0
Origem: 0 	 Destino: 443 	 Distância: 0
Origem: 0 	 Destino: 444 	 Distância: 0
Origem: 0 	 Destino: 445 	 Distância: 0
Origem: 0 	 Destino: 446 	 Distância: 0
Origem: 0 	 Destino: 447 	 Distância: 0
Origem: 0 	 Destino: 448 	 Distância: 0
Origem: 0 	 Destino: 449 	 Distância: 0
Origem: 0 	 Destino: 450 	 Distância: 0
Origem: 0 	 Destino: 451 	 Distância: 0
Origem: 0 	 Destino: 452 	 Distância: 0
Origem: 0 	 Destino: 453 	 Distância: 0
Origem: 0 	 Destino: 454 	 Distância: 0
Origem: 0 	 Destino: 455 	 Distância: 0
Origem: 0 	 Destino: 456 	 Distância: 0
Origem: 0 	 Destino: 457 	 Distância: 0
Origem: 0 	 Destino: 458 	 Distância: 0
Origem: 0 	 Destino: 459 	 Distância: 0
Origem: 0 	 Destino: 460 	 Distância: 0
Origem: 0 	 Destino: 461 	 Distância: 0
